"Rechnungs-Nr";"Bestell-Nr";"Rechnungsdatum";"Fälligkeitsdatum";"Steuer";"Versand";"Fälliger Betrag"
5;31;22.3.2006 16:08:59;;€ 0,00;€ 0,00;€ 0,00
6;32;22.3.2006 16:10:27;;€ 0,00;€ 0,00;€ 0,00
7;40;24.3.2006 10:41:41;;€ 0,00;€ 0,00;€ 0,00
8;39;24.3.2006 10:55:46;;€ 0,00;€ 0,00;€ 0,00
9;38;24.3.2006 10:56:57;;€ 0,00;€ 0,00;€ 0,00
10;37;24.3.2006 10:57:38;;€ 0,00;€ 0,00;€ 0,00
11;36;24.3.2006 10:58:40;;€ 0,00;€ 0,00;€ 0,00
12;35;24.3.2006 10:59:41;;€ 0,00;€ 0,00;€ 0,00
13;34;24.3.2006 11:00:55;;€ 0,00;€ 0,00;€ 0,00
14;33;24.3.2006 11:02:02;;€ 0,00;€ 0,00;€ 0,00
15;30;24.3.2006 11:03:00;;€ 0,00;€ 0,00;€ 0,00
16;56;3.4.2006 13:50:15;;€ 0,00;€ 0,00;€ 0,00
17;55;4.4.2006 11:05:04;;€ 0,00;€ 0,00;€ 0,00
18;51;4.4.2006 11:06:13;;€ 0,00;€ 0,00;€ 0,00
19;50;4.4.2006 11:06:56;;€ 0,00;€ 0,00;€ 0,00
20;48;4.4.2006 11:07:37;;€ 0,00;€ 0,00;€ 0,00
21;47;4.4.2006 11:08:14;;€ 0,00;€ 0,00;€ 0,00
22;46;4.4.2006 11:08:49;;€ 0,00;€ 0,00;€ 0,00
23;45;4.4.2006 11:09:24;;€ 0,00;€ 0,00;€ 0,00
24;79;4.4.2006 11:35:54;;€ 0,00;€ 0,00;€ 0,00
25;78;4.4.2006 11:36:21;;€ 0,00;€ 0,00;€ 0,00
26;77;4.4.2006 11:36:47;;€ 0,00;€ 0,00;€ 0,00
27;76;4.4.2006 11:37:09;;€ 0,00;€ 0,00;€ 0,00
28;75;4.4.2006 11:37:49;;€ 0,00;€ 0,00;€ 0,00
29;74;4.4.2006 11:38:11;;€ 0,00;€ 0,00;€ 0,00
30;73;4.4.2006 11:38:32;;€ 0,00;€ 0,00;€ 0,00
31;72;4.4.2006 11:38:53;;€ 0,00;€ 0,00;€ 0,00
32;71;4.4.2006 11:39:29;;€ 0,00;€ 0,00;€ 0,00
33;70;4.4.2006 11:39:53;;€ 0,00;€ 0,00;€ 0,00
34;69;4.4.2006 11:40:16;;€ 0,00;€ 0,00;€ 0,00
35;67;4.4.2006 11:40:38;;€ 0,00;€ 0,00;€ 0,00
36;42;4.4.2006 11:41:14;;€ 0,00;€ 0,00;€ 0,00
37;60;4.4.2006 11:41:45;;€ 0,00;€ 0,00;€ 0,00
38;63;4.4.2006 11:42:26;;€ 0,00;€ 0,00;€ 0,00
39;58;4.4.2006 11:43:08;;€ 0,00;€ 0,00;€ 0,00
